iter	RMSE
843	2700.595795
844	2699.123835
845	2697.625906
846	2696.562038
847	2695.728883
848	2695.179034
849	2694.295028
850	2692.328827
851	2692.156402
852	2689.979019
853	2689.293952
854	2688.259608
855	2686.343546
856	2684.880152
857	2682.160372
858	2680.565568
859	2679.012648
860	2678.366634
861	2676.764052
862	2674.69617
863	2673.471429
864	2671.373406
865	2668.866982
866	2667.413704
867	2666.690574
868	2665.731847
869	2663.911779
870	2661.390953
871	2660.249552
872	2659.379271
873	2658.169683
874	2657.612925
875	2655.978829
876	2654.165984
877	2652.598958
878	2650.001497
879	2648.737552
880	2646.78472
881	2645.296872
882	2643.741594
883	2642.941382
884	2641.327443
885	2639.804808
886	2638.284356
887	2637.583079
888	2636.937898
889	2635.605386
890	2634.537562
891	2633.941758
892	2632.724546
893	2630.919954
894	2630.261379
895	2629.455077
896	2627.451398
897	2627.203765
898	2625.643401
899	2623.665343
900	2622.270693
901	2621.000666
902	2619.499582
903	2618.294151
904	2616.514467
905	2614.736564
906	2613.787559
907	2612.077257
908	2610.561764
909	2609.987568
910	2609.725623
911	2608.403597
912	2606.271255
913	2605.422095
914	2604.053717
915	2603.717769
916	2602.254188
917	2600.602235
918	2599.126782
919	2597.199897
920	2594.697397
921	2592.626737
922	2591.67837
923	2591.562063
924	2590.408416
925	2590.04447
926	2589.406445
927	2587.227712
928	2586.190866
929	2585.841356
930	2585.526537
931	2584.564264
932	2582.374581
933	2580.407575
934	2579.766534
935	2579.182553
936	2577.391658
937	2575.965649
938	2574.21005
939	2572.572668
940	2571.885096
941	2570.02405
942	2569.333675
943	2567.827835
944	2565.206906
945	2563.250502
946	2562.395904
947	2562.105454
948	2561.88272
949	2561.205871
950	2560.734779
951	2559.670785
952	2559.065716
953	2558.09514
954	2556.574766
955	2555.438379
956	2554.21732
957	2553.404849
958	2552.002984
959	2551.511954
960	2551.09028
961	2549.532156
962	2547.428765
963	2545.502654
964	2545.247108
965	2544.304743
966	2543.69457
967	2542.402203
968	2540.006823
969	2539.630788
970	2538.853445
971	2537.411014
972	2536.43928
973	2534.788691
974	2533.410911
975	2532.460913
976	2531.479256
977	2530.597185
978	2529.250415
979	2528.38579
980	2526.892376
981	2525.888943
982	2524.764752
983	2523.917187
984	2522.252771
985	2520.020905
986	2518.663855
987	2516.954081
988	2515.562405
989	2514.762341
990	2513.585521
991	2512.299903
992	2511.380689
993	2510.273604
994	2508.958197
995	2507.885483
996	2506.310147
997	2505.327785
998	2504.00202
999	2501.935093
15.863005
